region,province,municipal,barangay,dateCommitted,timeCommitted,stageoffelony,offense,offenseType
CALABARZON,LAGUNA,BAY,MAITIM,8/24/2020,13:10:00,CONSUMMATED,"COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS - RA 9165 Article II Section 5 para 1",Republic Act
CALABARZON,LAGUNA,BAY,MAITIM,8/24/2020,13:10:00,CONSUMMATED,COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS - RA 9165 Article II Section 11,Republic Act
CALABARZON,LAGUNA,BAY,SANTO DOMINGO,8/26/2020,17:45:00,CONSUMMATED,"COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS - RA 9165 Article II Section 5 para 1",Republic Act
CALABARZON,LAGUNA,BAY,SANTO DOMINGO,8/26/2020,17:45:00,CONSUMMATED,COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS - RA 9165 Article II Section 11,Republic Act
CALABARZON,LAGUNA,BAY,PUYPUY,8/27/2020,9:50:00,CONSUMMATED,THEFT  - RPC Art. 308,Crimes Against Property
CALABARZON,LAGUNA,BAY,SANTO DOMINGO,8/28/2020,1:50:00,CONSUMMATED,RESISTANCE AND DISOBEDIENCE TO A PERSON IN AUTHORITY OR THE AGENTS OF SUCH PERSON  - RPC Art. 151,Crimes Against Popular Representation
CALABARZON,LAGUNA,BAY,SANTO DOMINGO,8/28/2020,1:50:00,CONSUMMATED,DIRECT ASSAULTS  - RPC Art. 148,Crimes Against Popular Representation
CALABARZON,LAGUNA,BAY,SANTO DOMINGO,8/28/2020,2:10:00,CONSUMMATED,PENALIZING OBSTRUCTION OF APPREHENSION AND PROSECUTION OF CRIMINAL OFFENDERS.  - PD 1829,Presedential Decree
CALABARZON,LAGUNA,BAY,SANTO DOMINGO,8/28/2020,2:10:00,CONSUMMATED,RESISTANCE AND DISOBEDIENCE TO A PERSON IN AUTHORITY OR THE AGENTS OF SUCH PERSON  - RPC Art. 151,Crimes Against Popular Representation
CALABARZON,LAGUNA,BAY,SANTO DOMINGO,8/28/2020,2:10:00,CONSUMMATED,"ILLEGAL POSSESSION OF BLADED, POINTED OR BLUNT WEAPONS - BP 6",Batas Pambansa
CALABARZON,LAGUNA,BAY,BITIN,8/31/2020,15:30:00,CONSUMMATED,SWINDLING (ESTAFA)  - RPC Art. 315 as amended by PD 1689,Crimes Against Property
CALABARZON,LAGUNA,BAY,BITIN,8/31/2020,15:30:00,CONSUMMATED,FALSIFICATION BY PRIVATE INDIVIDUAL AND USE OF FALSIFIED DOCUMENTS  - RPC Art. 172,Crimes Against Public Interest
CALABARZON,LAGUNA,BAY,MASAYA,9/4/2020,17:30:00,CONSUMMATED,MURDER  - RPC Art. 248,Crimes Against Persons
CALABARZON,LAGUNA,BAY,SAN ANTONIO,9/8/2020,13:30:00,CONSUMMATED,THEFT  - RPC Art. 308,Crimes Against Property
